: Nomen: SI/PL
Abbildung Abbildungen Absatz Absätze
Abbildung Abbildungen Ergebnis Ergebnisse
Abbildung Abbildungen Schritt Schritte
Abbildung Abbildungen Situation Situationen
Abbildung Abbildungen Wohnung Wohnungen
Absatz Absätze Tisch Tische
Absatz Absätze Welt Welten
Absatz Absätze Auge Augen
Absatz Absätze Zahl Zahlen
Absatz Absätze Uhr Uhren
Anfang Anfänge Blick Blicke
Anfang Anfänge Richtung Richtungen
Anfang Anfänge Geld Gelder
Anfang Anfänge Sache Sachen
Anfang Anfänge Stadt Städte
Angst Ängste Beispiel Beispiele
Angst Ängste Regel Regeln
Angst Ängste Punkt Punkte
Angst Ängste Moment Momente
Angst Ängste Minute Minuten
Arbeit Arbeiten Wert Werte
Arbeit Arbeiten Welt Welten
Arbeit Arbeiten Problem Probleme
Arbeit Arbeiten Aufgabe Aufgaben
Arbeit Arbeiten Möglichkeit Möglichkeiten
Art Arten Rahmen Rahmen
Art Arten Straße Straßen
Art Arten Regierung Regierungen
Art Arten Erfahrung Erfahrungen
Art Arten Platz Plätze
Aufgabe Aufgaben Gesicht Gesichter
Aufgabe Aufgaben Gott Götter
Aufgabe Aufgaben Jahr Jahre
Aufgabe Aufgaben Geschichte Geschichten
Aufgabe Aufgaben Absatz Absätze
Auge Augen Stelle Stellen
Auge Augen Schritt Schritte
Auge Augen Schule Schulen
Auge Augen Zahl Zahlen
Auge Augen Stunde Stunden
Auto Autos Information Informationen
Auto Autos Preis Preise
Auto Autos Blick Blicke
Auto Autos Zeit Zeiten
Auto Autos Land Länder
Bedeutung Bedeutungen Wert Werte
Bedeutung Bedeutungen Minute Minuten
Bedeutung Bedeutungen Universität Universitäten
Bedeutung Bedeutungen Angst Ängste
Bedeutung Bedeutungen Preis Preise
Begriff Begriffe Punkt Punkte
Begriff Begriffe Bedeutung Bedeutungen
Begriff Begriffe Spiel Spiele
Begriff Begriffe Entwicklung Entwicklungen
Begriff Begriffe Monat Monate
Beispiel Beispiele Blick Blicke
Beispiel Beispiele Gespräch Gespräche
Beispiel Beispiele Auto Autos
Beispiel Beispiele Boden Böden
Beispiel Beispiele Jahr Jahre
Bereich Bereiche Geschichte Geschichten
Bereich Bereiche Gruppe Gruppen
Bereich Bereiche Herr Herren
Bereich Bereiche Beziehung Beziehungen
Bereich Bereiche Leben Leben
Beruf Berufe Angst Ängste
Beruf Berufe Form Formen
Beruf Berufe Paar Paare
Beruf Berufe Rahmen Rahmen
Beruf Berufe Gespräch Gespräche
Beziehung Beziehungen System Systeme
Beziehung Beziehungen Schule Schulen
Beziehung Beziehungen Beispiel Beispiele
Beziehung Beziehungen Stück Stücke
Beziehung Beziehungen Krieg Kriege
Bild Bilder Euro Euro
Bild Bilder Person Personen
Bild Bilder Tür Türen
Bild Bilder Situation Situationen
Bild Bilder Rolle Rollen
Blick Blicke Grund Gründe
Blick Blicke Regel Regeln
Blick Blicke Gruppe Gruppen
Blick Blicke Wohnung Wohnungen
Blick Blicke Gespräch Gespräche
Boden Böden Milliarde Milliarden
Boden Böden Gesicht Gesichter
Boden Böden Ende Enden
Boden Böden Freund Freunde
Boden Böden Programm Programme
Ende Enden Mensch Menschen
Ende Enden Boden Böden
Ende Enden Zeit Zeiten
Ende Enden Tochter Töchter
Ende Enden Entwicklung Entwicklungen
Entwicklung Entwicklungen Tisch Tische
Entwicklung Entwicklungen Text Texte
Entwicklung Entwicklungen Stimme Stimmen
Entwicklung Entwicklungen Person Personen
Entwicklung Entwicklungen Zahl Zahlen
Erfahrung Erfahrungen Jahr Jahre
Erfahrung Erfahrungen Ende Enden
Erfahrung Erfahrungen Bedeutung Bedeutungen
Erfahrung Erfahrungen Rahmen Rahmen
Erfahrung Erfahrungen Teil Teile
Ergebnis Ergebnisse Welt Welten
Ergebnis Ergebnisse Gesicht Gesichter
Ergebnis Ergebnisse Schule Schulen
Ergebnis Ergebnisse Woche Wochen
Ergebnis Ergebnisse Paar Paare
Euro Euro System Systeme
Euro Euro Thema Themen
Euro Euro Platz Plätze
Euro Euro Mensch Menschen
Euro Euro Wert Werte
Familie Familien Werk Werke
Familie Familien Name Namen
Familie Familien Mensch Menschen
Familie Familien Tochter Töchter
Familie Familien Stimme Stimmen
Folge Folgen Tisch Tische
Folge Folgen Uhr Uhren
Folge Folgen Gruppe Gruppen
Folge Folgen Ergebnis Ergebnisse
Folge Folgen Universität Universitäten
Form Formen Krieg Kriege
Form Formen Mensch Menschen
Form Formen Gespräch Gespräche
Form Formen Stelle Stellen
Form Formen Art Arten
Frage Fragen Woche Wochen
Frage Fragen Weg Wege
Frage Fragen Haus Häuser
Frage Fragen Angst Ängste
Frage Fragen Gott Götter
Frau Frauen Stadt Städte
Frau Frauen Bedeutung Bedeutungen
Frau Frauen Entwicklung Entwicklungen
Frau Frauen Freund Freunde
Frau Frauen Information Informationen
Freund Freunde Weg Wege
Freund Freunde Rolle Rollen
Freund Freunde Regierung Regierungen
Freund Freunde Anfang Anfänge
Freund Freunde Ziel Ziele
Funktion Funktionen Paar Paare
Funktion Funktionen Tag Tage
Funktion Funktionen Gott Götter
Funktion Funktionen Minute Minuten
Funktion Funktionen Ergebnis Ergebnisse
Geld Gelder Jahr Jahre
Geld Gelder Rolle Rollen
Geld Gelder Ende Enden
Geld Gelder Auto Autos
Geld Gelder Boden Böden
Geschichte Geschichten Angst Ängste
Geschichte Geschichten Angst Ängste
Geschichte Geschichten Name Namen
Geschichte Geschichten Anfang Anfänge
Geschichte Geschichten Tag Tage
Gesicht Gesichter Text Texte
Gesicht Gesichter Tochter Töchter
Gesicht Gesichter Angst Ängste
Gesicht Gesichter Form Formen
Gesicht Gesichter Beispiel Beispiele
Gespräch Gespräche Krieg Kriege
Gespräch Gespräche Tür Türen
Gespräch Gespräche Land Länder
Gespräch Gespräche Information Informationen
Gespräch Gespräche Welt Welten
Gott Götter Auge Augen
Gott Götter Person Personen
Gott Götter Stunde Stunden
Gott Götter Jahr Jahre
Gott Götter Angst Ängste
Grund Gründe Spiel Spiele
Grund Gründe Absatz Absätze
Grund Gründe Leben Leben
Grund Gründe Woche Wochen
Grund Gründe Richtung Richtungen
Gruppe Gruppen Text Texte
Gruppe Gruppen Haus Häuser
Gruppe Gruppen Paar Paare
Gruppe Gruppen Herr Herren
Gruppe Gruppen Weg Wege
Haus Häuser Absatz Absätze
Haus Häuser Euro Euro
Haus Häuser Stimme Stimmen
Haus Häuser Gott Götter
Haus Häuser Wohnung Wohnungen
Herr Herren Gruppe Gruppen
Herr Herren Information Informationen
Herr Herren Absatz Absätze
Herr Herren Frau Frauen
Herr Herren System Systeme
Information Informationen Werk Werke
Information Informationen Gruppe Gruppen
Information Informationen Geld Gelder
Information Informationen Preis Preise
Information Informationen Person Personen
Jahr Jahre Erfahrung Erfahrungen
Jahr Jahre Straße Straßen
Jahr Jahre Paar Paare
Jahr Jahre Form Formen
Jahr Jahre Sprache Sprachen
Kind Kinder Leben Leben
Kind Kinder Richtung Richtungen
Kind Kinder Bild Bilder
Kind Kinder Zeit Zeiten
Kind Kinder Blick Blicke
Krieg Kriege Weg Wege
Krieg Kriege Gruppe Gruppen
Krieg Kriege Wert Werte
Krieg Kriege Stadt Städte
Krieg Kriege Moment Momente
Land Länder Minute Minuten
Land Länder Freund Freunde
Land Länder Straße Straßen
Land Länder Mann Männer
Land Länder Geschichte Geschichten
Leben Leben Rahmen Rahmen
Leben Leben Funktion Funktionen
Leben Leben Punkt Punkte
Leben Leben Welt Welten
Leben Leben Teil Teile
Mann Männer Angst Ängste
Mann Männer Entwicklung Entwicklungen
Mann Männer Familie Familien
Mann Männer Thema Themen
Mann Männer Grund Gründe
Mensch Menschen Bereich Bereiche
Mensch Menschen Programm Programme
Mensch Menschen Zeit Zeiten
Mensch Menschen Mann Männer
Mensch Menschen Gespräch Gespräche
Milliarde Milliarden Moment Momente
Milliarde Milliarden System Systeme
Milliarde Milliarden Punkt Punkte
Milliarde Milliarden Universität Universitäten
Milliarde Milliarden Thema Themen
Million Millionen Gespräch Gespräche
