: Nomen: SI/PL
Abbildung Abbildungen Auge Augen
Abbildung Abbildungen Boden Böden
Abbildung Abbildungen Ziel Ziele
Abbildung Abbildungen Geld Gelder
Abbildung Abbildungen Zahl Zahlen
Absatz Absätze Universität Universitäten
Absatz Absätze Zahl Zahlen
Absatz Absätze Geld Gelder
Absatz Absätze Möglichkeit Möglichkeiten
Absatz Absätze Bedeutung Bedeutungen
Anfang Anfänge Uhr Uhren
Anfang Anfänge Land Länder
Anfang Anfänge Absatz Absätze
Anfang Anfänge Auto Autos
Anfang Anfänge Herr Herren
Angst Ängste Monat Monate
Angst Ängste Geld Gelder
Angst Ängste Gott Götter
Angst Ängste Blick Blicke
Angst Ängste Richtung Richtungen
Arbeit Arbeiten Grund Gründe
Arbeit Arbeiten Minute Minuten
Arbeit Arbeiten Begriff Begriffe
Arbeit Arbeiten Teil Teile
Arbeit Arbeiten Name Namen
Art Arten Boden Böden
Art Arten Jahr Jahre
Art Arten Rolle Rollen
Art Arten Million Millionen
Art Arten Gruppe Gruppen
Aufgabe Aufgaben Nacht Nächte
Aufgabe Aufgaben Woche Wochen
Aufgabe Aufgaben Land Länder
Aufgabe Aufgaben Folge Folgen
Aufgabe Aufgaben Auto Autos
Auge Augen Tag Tage
Auge Augen Sohn Söhne
Auge Augen Absatz Absätze
Auge Augen Leben Leben
Auge Augen Tür Türen
Auto Autos Arbeit Arbeiten
Auto Autos Platz Plätze
Auto Autos Spiel Spiele
Auto Autos Freund Freunde
Auto Autos Problem Probleme
Bedeutung Bedeutungen Land Länder
Bedeutung Bedeutungen Zahl Zahlen
Bedeutung Bedeutungen Angst Ängste
Bedeutung Bedeutungen Gesicht Gesichter
Bedeutung Bedeutungen Herr Herren
Begriff Begriffe Schritt Schritte
Begriff Begriffe Woche Wochen
Begriff Begriffe Beispiel Beispiele
Begriff Begriffe Regierung Regierungen
Begriff Begriffe Stelle Stellen
Beispiel Beispiele Abbildung Abbildungen
Beispiel Beispiele Tisch Tische
Beispiel Beispiele Angst Ängste
Beispiel Beispiele Zahl Zahlen
Beispiel Beispiele Folge Folgen
Bereich Bereiche Grund Gründe
Bereich Bereiche Haus Häuser
Bereich Bereiche Schule Schulen
Bereich Bereiche Universität Universitäten
Bereich Bereiche Schule Schulen
Beruf Berufe Schritt Schritte
